,CONTRIB_CF_Q_0,CONTRIB_CO_Q_0,CONTRIB_CG_Q_0,CONTRIB_IP_Q_0,CONTRIB_IG_Q_0,CONTRIB_IPC_Q_0,CONTRIB_EX_Q_0,CONTRIB_IM_Q_0,CONTRIB_JJ_Q_0
1995-07-01,0.27540392328783786,1.2868414915733002,2.76,1.74,0.19,0.01,6.61,5.95,0.01
1995-10-01,0.18970393828300894,1.9096796957269229,2.39,1.44,0.32,-0.03,3.47,2.22,-2.29
1996-01-01,0.22397955524065694,3.763292610984989,0.46,0.41,0.16,0.07,3.84,3.93,0.93
1996-04-01,0.14813359570255613,3.556644999371223,2.21,0.38,0.37,-0.12,3.23,2.13,-1.72
1996-07-01,0.28898109940023775,3.8548375790067797,0.61,1.14,-0.2,-0.16,3.37,-0.47,-3.05
1996-10-01,0.1788583045760067,3.8525164413277198,1.44,1.86,-0.26,-0.08,3.1,4.85,1.85
1997-01-01,0.3502014549114136,3.5707558029186335,1.26,1.82,0.14,0.03,3.74,5.26,0.1
1997-04-01,0.2839605901073636,3.525720962980526,0.5,2.49,-0.41,-0.25,2.04,3.57,1.01
1997-07-01,0.2153180443215876,4.017877734976086,1.34,2.52,0.04,0.11,4.82,7.81,1.09
1997-10-01,0.356652175195852,3.5438786789348358,0.85,3.6,0.08,-0.14,5.13,6.7,0.08
1998-01-01,0.3751677971162651,4.1156133880968495,1.23,3.16,-0.07,-0.03,1.61,5.66,0.08
1998-04-01,0.3591152705050016,3.2484496795055757,1.64,2.31,-0.21,-0.16,1.98,4.06,-0.79
1998-07-01,0.4723800471724766,2.7326210241840116,-0.55,2.34,-0.01,0.05,1.8,2.75,0.61
1998-10-01,0.2971605777386937,3.171690130964052,1.01,0.09,0.03,0.56,-0.75,1.63,0.46
1999-01-01,0.3238529913973518,2.037553931666155,0.4,0.05,0.35,0.01,4.71,0.16,-1.47
1999-04-01,0.3391782349842033,3.200889803826306,-0.41,-0.1,0.56,0.61,6.76,2.65,-1.04
1999-07-01,0.30201900467000825,2.8501858930955493,-0.06,0.08,-0.04,0.41,3.76,1.89,0.48
1999-10-01,0.38644938803396994,2.0646060379613864,-1.49,1.44,0.07,0.19,7.37,2.75,0.2
2000-01-01,0.39511874200866226,3.866926569875269,-1.12,2.59,-0.36,-0.07,6.62,5.48,-0.37
2000-04-01,0.3215493163627957,2.773064707065689,-1.25,4.37,-1.27,-0.89,9.39,8.87,1.73
2000-07-01,0.3531126433657218,2.3533786612871115,1.09,3.06,0.48,-0.1,11.22,9.37,-1.91
2000-10-01,0.14091759449017194,1.587214732792947,1.51,0.0,0.27,0.64,5.65,2.91,-1.07
2001-01-01,0.21010623091993122,0.49883975664236624,-0.08,-0.17,-0.72,-0.51,1.12,-2.24,-1.2
2001-04-01,0.16505695628748704,0.3296884594628615,0.18,-2.86,-0.58,-0.23,-4.09,-6.63,-2.15
2001-07-01,0.0040466763778051465,0.5851885615313522,0.27,-6.67,-0.36,-0.06,-9.94,-11.25,0.89
2001-10-01,0.05783666248066222,1.239458198896138,1.32,-6.48,-0.17,0.8,-1.43,-6.02,-1.61
2002-01-01,0.21312316920488947,1.5334466033702674,-0.03,-1.62,-0.33,-0.14,1.52,-2.74,-2.05
2002-04-01,0.2646688340044312,1.779703455047408,0.56,-0.21,-0.49,0.08,7.02,2.38,0.13
2002-07-01,0.05289598771756718,2.7020805175111744,0.21,2.82,-0.49,0.15,9.53,8.84,1.0
2002-10-01,0.11200035595069252,1.4524015679079247,0.49,2.62,-0.64,-0.35,6.69,4.77,0.66
2003-01-01,0.1442616678163617,0.6573664629681717,0.46,0.7,-0.23,-0.07,5.89,5.32,2.93
2003-04-01,0.2141070891117885,-0.9890091470594682,-0.84,-0.77,-0.36,-0.12,1.31,2.03,2.29
2003-07-01,0.34281207938216535,2.993956273302815,0.65,-0.16,0.0,-0.02,6.48,1.06,-3.8
2003-10-01,0.28357589587335996,2.477836761121741,-0.59,1.99,0.09,-0.18,9.26,7.19,1.13
2004-01-01,0.22986040822642553,3.768957655343493,0.24,3.17,-0.34,-0.5,10.59,9.42,-0.68
2004-04-01,0.1738213681292886,5.096799377437482,0.43,4.7,-0.29,-0.2,13.95,12.03,-0.82
2004-07-01,0.007394686588700832,1.2580985259403517,0.11,3.73,-0.38,-0.3,8.63,8.84,2.9
2004-10-01,0.031131042441774604,1.9524847184749374,0.02,3.38,-0.22,-0.61,4.99,6.89,1.02
2005-01-01,0.14369958468169913,2.26530104145048,-0.31,2.2,0.04,0.37,3.22,3.47,-0.63
2005-04-01,0.07723348859314234,2.1034666376777102,0.75,1.96,-0.02,0.15,3.98,3.29,-0.82
2005-07-01,0.083965210334954,1.7393345213235798,0.04,0.17,0.14,0.15,4.56,2.69,0.92
2005-10-01,0.029672688867191755,1.3628722810835505,-0.15,-2.24,0.28,0.19,9.26,-0.31,-1.37
2006-01-01,0.19035022424653933,1.0097513953075317,-0.33,0.03,-0.18,-0.05,8.67,4.8,1.52
2006-04-01,0.09302127473073529,0.7396296423988313,-0.43,0.41,-0.35,-0.31,8.04,2.86,0.32
2006-07-01,0.3121896137314741,0.5969149897815549,0.01,1.25,-0.31,-0.05,10.41,3.96,-1.13
2006-10-01,0.2903643912059974,0.6681109295557304,0.36,1.52,-0.45,-0.14,5.19,3.04,-0.14
2007-01-01,0.06406070111522472,1.0626255837749852,0.21,-0.2,-0.39,0.19,6.55,0.13,-1.69
2007-04-01,0.13629845628517606,1.1829065820833555,0.22,1.22,-0.19,-0.03,7.5,3.61,0.69
2007-07-01,0.09647470341960947,2.0768870187553095,0.54,1.28,-0.1,0.01,9.37,5.25,0.0
2007-10-01,-0.12419839150789695,0.9855585611226869,0.33,-0.38,0.21,-0.02,8.62,2.86,-0.09
2008-01-01,0.1491151200872295,1.1841834655163763,0.44,0.51,-0.13,0.1,11.4,7.92,1.93
2008-04-01,-0.10827811810514912,-0.12066026247321493,0.25,-2.43,-0.06,0.03,9.09,1.37,0.4
2008-07-01,-0.1890734854322797,-2.061822345343428,-0.19,-3.39,-0.02,-0.13,3.07,-0.12,1.36
2008-10-01,-0.224555268340997,-2.040073096169168,0.48,-5.16,0.25,-0.11,-12.9,-11.09,1.24
2009-01-01,0.05206326794458888,-1.9887832948830624,0.44,-5.82,0.44,-0.36,-20.28,-24.39,-4.82
2009-04-01,-0.040447571261971474,-1.1287827383995783,0.32,-4.84,0.61,0.05,-13.53,-13.93,-1.32
2009-07-01,0.08153493120650729,0.2914044821490654,0.62,-1.89,0.77,0.02,-5.3,-7.35,-3.08
2009-10-01,0.17771196391749355,2.4125220531285967,0.61,1.84,0.51,0.44,12.79,8.42,-1.75
2010-01-01,0.14639610247423354,1.7545843227113544,0.3,5.06,-0.39,-0.05,23.35,25.44,6.85
2010-04-01,0.1361428706507143,2.3013005635666497,0.43,4.48,0.19,0.41,23.11,21.13,2.14
2010-07-01,0.19719276328308788,2.3448538338654887,0.23,4.76,-0.3,-0.04,15.43,14.04,2.99
2010-10-01,0.05586274575401601,1.48428295946194,-0.15,2.25,-0.07,0.2,13.83,11.85,0.63
2011-01-01,0.07318326903965892,2.6361574297934403,0.41,2.35,-0.05,-0.17,7.92,5.68,-0.69
2011-04-01,0.08612597943136821,1.77944841680623,0.17,1.54,-0.23,-0.28,3.32,1.08,-1.1
2011-07-01,0.10809771694959731,1.6501215801702367,0.36,-1.3,-0.31,-0.07,0.89,-2.91,-0.92
2011-10-01,0.1654460201078292,0.18747777855581357,0.39,-1.72,-0.32,-0.44,0.79,-3.74,-1.93
2012-01-01,0.10157487391994797,1.1037401102740878,0.33,-1.17,-0.4,-0.14,-0.24,-2.27,-0.74
2012-04-01,0.18055535400501457,0.9114721950473967,0.62,-0.31,-0.51,-0.2,-1.03,-1.78,-0.41
2012-07-01,-0.01782902491614281,0.7873649390628137,0.13,1.02,-0.35,-0.15,2.69,1.88,-0.03
2012-10-01,-0.143069509045559,1.3690468844147619,0.39,1.33,-0.43,0.0,4.52,3.19,0.69
2013-01-01,-0.06395422449226452,0.67416783384814,-0.1,1.85,-0.17,0.18,2.85,3.58,-0.11
2013-04-01,0.01684888756580724,1.412962291314737,-0.33,1.82,-0.22,0.08,3.18,1.68,-1.56
2013-07-01,0.18283005054241444,1.010874175081932,-0.16,0.99,-0.09,-0.16,1.45,0.86,-0.42
2013-10-01,-0.026659216845257835,2.4116787733137293,-0.26,1.82,0.15,0.12,2.74,3.34,0.15
2014-01-01,-0.1044086442820944,1.94185431885152,0.62,0.93,-0.17,0.16,2.91,1.53,-0.01
2014-04-01,-0.013485525370847,2.207059559805077,0.39,1.24,-0.2,-0.21,3.8,2.88,0.64
2014-07-01,0.023150553580826655,2.3568438735643835,0.57,1.15,-0.25,0.26,6.0,6.14,0.98
2014-10-01,-0.1127619131021661,1.9076788482432332,0.65,0.69,-0.45,0.06,5.68,4.73,0.75
2015-01-01,-0.15742536507735372,2.085223017985377,-0.41,0.59,-0.09,-0.3,4.88,1.46,-0.29
2015-04-01,-0.07023218798654908,2.164614112792545,0.12,0.24,-0.03,0.23,-0.09,1.73,1.11
2015-07-01,-0.09310240878836536,0.7893134281503622,0.05,1.29,-0.17,-0.06,-1.51,-0.02,-0.57
2015-10-01,-0.14431053861486984,1.6953036238990593,0.14,0.94,-0.05,-0.24,-1.74,0.47,-0.3
2016-01-01,-0.20717037639665178,1.7163815944818714,0.87,0.31,0.0,0.0,-3.7,-1.51,-0.55
2016-04-01,-0.28461239143215095,1.359950385431785,0.31,0.5,-0.14,-0.05,-1.5,-1.95,-0.42
2016-07-01,-0.18884665141556545,1.767490429457374,0.48,0.99,0.06,-0.07,0.16,-0.26,-0.42
2016-10-01,-0.2127722243935719,1.6041505084353318,0.39,1.12,0.25,-0.05,2.19,1.29,-0.07
2017-01-01,0.1035135021871141,1.2300481703341282,-0.54,0.66,0.17,0.12,2.87,1.96,0.6
2017-04-01,0.06821206791474249,0.9933470180136569,0.21,0.04,0.21,-0.09,1.51,1.16,0.86
2017-07-01,0.028228477651269727,1.420648193121587,0.2,-0.69,0.16,-0.01,5.14,1.45,-1.18
2017-10-01,0.13325781725670444,1.5820860921417461,-0.12,-0.77,0.06,0.0,2.54,-0.86,-0.61
2018-01-01,0.149650900262494,1.4422488196725523,0.9,0.16,0.05,-0.02,0.98,0.41,0.16
2018-04-01,0.12968634890898154,1.3446564718228313,0.89,0.2,-0.02,0.05,2.05,0.68,-0.54
2018-07-01,0.09812789766477552,0.5384480066041823,-0.15,1.09,0.08,0.2,-0.21,1.3,1.95
2018-10-01,0.09777937264121017,0.5308686792740249,0.62,0.25,0.28,0.34,-2.07,-0.66,1.43
2019-01-01,0.09593751347004459,0.8679798315838436,-0.36,1.77,0.12,0.01,0.39,0.58,-0.26
2019-04-01,0.17332800437360693,0.6497780085815239,-0.31,2.34,0.37,0.11,0.64,-0.07,-1.06
2019-07-01,0.13490261776592463,1.1710085766257938,0.6,1.16,0.22,-0.12,-0.37,-1.71,-1.08
2019-10-01,0.11640210325192042,1.4635366827209229,0.33,3.26,0.3,0.07,1.16,2.22,-0.78
2020-01-01,0.19543200416888656,-1.3443039201551652,0.47,1.77,0.24,0.12,-1.32,-2.1,0.66
2020-04-01,0.2328772695262713,-3.1212074805434935,-0.07,0.63,0.11,0.49,-2.37,-3.0,1.72
2020-07-01,0.5134699044201994,-1.165648117243914,0.55,1.29,0.18,0.26,1.95,-1.95,-1.08
2020-10-01,0.26566203701067526,-0.9820930737750989,0.59,0.23,0.17,0.45,4.35,-0.59,-0.28
2021-01-01,0.12726591692889697,1.1145200012398586,0.63,2.89,-0.21,0.28,12.28,7.38,-0.45
2021-04-01,0.24727980178769565,-0.5691516068068929,0.28,3.75,-0.23,-0.3,12.83,8.3,0.15
2021-07-01,-0.2894607066740602,-2.36227392774098,0.49,4.86,-0.32,0.22,8.27,9.11,2.38
2021-10-01,0.16539070782521542,0.9341650846845174,0.64,3.38,-0.45,0.07,7.26,7.31,0.52
2022-01-01,0.07286435996359389,0.20976281310578238,-0.07,2.28,0.03,0.02,5.69,4.43,0.07
2022-04-01,-0.07687861112133437,1.4638420605181217,0.78,2.52,0.01,0.4,3.18,4.92,-0.38
2022-07-01,0.08662184336584454,3.153761747713536,0.29,0.02,0.15,0.39,1.48,1.12,-0.8
2022-10-01,0.019268809127681072,1.4075131259797662,0.83,0.87,0.04,-0.07,-3.43,-0.83,-0.92
2023-01-01,0.00734727,3.063285,0.3812601,0.2472813,0.0641855,0.0796389,-7.85199,-2.447632,-0.1965338
2023-04-01,-0.1544641,4.058682,0.1542671,-0.495852,0.1453363,-0.0127277,-3.596539,-3.233571,-0.7054388
2023-07-01,-0.147506,2.466323,0.3404433,0.0322374,0.0674032,-0.1562794,1.298148,1.361978,-0.3549653
2023-10-01,-0.1970383,1.620586,0.378976,-0.8211635,0.3273488,0.3262114,7.837136,5.324183,0.5767278
